City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Quatre Cocos,MU,-20.2078,57.7625,70.09,78,12,8.99,few clouds
160,Nouadhibou,MR,20.931,-17.0347,67.66,86,100,16.53,overcast clouds
161,Ambulu,ID,-8.345,113.6058,80.33,82,100,1.23,overcast clouds
162,Tunceli,TR,39.1083,39.5471,49.06,85,85,2.93,overcast clouds
163,Asadabad,IR,34.7824,48.1185,55.36,57,73,2.21,broken clouds
164,General Pico,AR,-35.6566,-63.7568,52.18,96,100,8.66,moderate rain
165,Salalah,OM,17.0151,54.0924,76.62,39,4,2.28,clear sky
166,Tonantins,BR,-2.8731,-67.8022,75.42,94,100,1.05,overcast clouds
167,Buala,SB,-8.145,159.5921,83.32,74,73,5.12,moderate rain
168,Esna,EG,25.2934,32.554,78.37,33,25,7.14,scattered clouds
169,Braco Do Norte,BR,-28.275,-49.1656,62.73,99,100,2.1,overcast clouds
170,Kostomuksha,RU,64.571,30.5767,38.82,98,100,4.25,light rain
171,Besancon,FR,47.2488,6.0182,52.79,100,100,11.48,light rain
172,Portland,US,45.5234,-122.6762,58.37,43,5,1.99,clear sky
173,Pimenta Bueno,BR,-11.6725,-61.1936,73.09,94,100,4.14,moderate rain
174,Gizo,SB,-8.103,156.8419,82.8,75,100,8.75,moderate rain
175,Nuuk,GL,64.1835,-51.7216,36.21,87,90,23.02,moderate rain
176,Naze,JP,28.3667,129.4833,67.12,75,17,15.41,few clouds
177,Kodiak,US,57.79,-152.4072,42.28,90,100,8.63,overcast clouds
178,Kathu,TH,7.9178,98.3332,81.7,99,38,8.14,scattered clouds
179,Bongandanga,CD,1.5,21.05,69.06,99,100,2.06,overcast clouds
180,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,47,40,6.71,scattered clouds
181,Port Alberni,CA,49.2413,-124.8028,46.92,86,0,2.59,clear sky
182,Katsuura,JP,35.1333,140.3,68.18,83,100,6.42,overcast clouds
183,Padang,ID,-0.9492,100.3543,77.05,89,100,2.66,overcast clouds
184,Vostok,RU,46.4856,135.8833,39.0,60,6,1.68,clear sky
185,Baoning,CN,25.3378,110.026,61.7,97,100,3.02,overcast clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,82.06,73,11,5.01,few clouds
187,Alacranes,CU,22.7675,-81.5675,72.09,73,75,6.69,broken clouds
188,Hermanus,ZA,-34.4187,19.2345,60.91,81,100,10.8,overcast clouds
