City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Tomohon,ID,2021-10-31 20:42:31,1.3346,124.8392,65.34,85,100,1.83
219,Tocopilla,CL,2021-10-31 20:42:31,-22.092,-70.1979,69.8,55,17,3.91
220,Saint-Pierre,RE,2021-10-31 20:39:08,-21.3393,55.4781,69.48,74,0,4.61
221,Kapaa,US,2021-10-31 20:42:32,22.0752,-159.319,82.18,73,1,1.01
222,Yellowknife,CA,2021-10-31 20:42:32,62.456,-114.3525,35.42,94,75,1.01
223,Sur,OM,2021-10-31 20:42:32,22.5667,59.5289,82.0,60,0,12.39
224,Walvis Bay,NA,2021-10-31 20:42:33,-22.9575,14.5053,60.1,88,0,5.75
225,Xiangxiang,CN,2021-10-31 20:42:33,27.7333,112.5333,60.3,95,100,5.37
226,Shima,CN,2021-10-31 20:42:33,24.4478,117.8111,73.22,75,7,2.19
227,Kenai,US,2021-10-31 20:42:34,60.5544,-151.2583,45.14,80,75,12.66
228,Saskylakh,RU,2021-10-31 20:42:34,71.9167,114.0833,8.71,97,98,5.53
229,Disna,BY,2021-10-31 20:42:34,55.568,28.1971,42.3,81,1,7.78
230,Santo Domingo,DO,2021-10-31 20:37:36,18.5001,-69.9886,89.24,65,20,3.0
231,Lavrentiya,RU,2021-10-31 20:42:35,65.5833,-171.0,12.25,83,4,12.12
232,Suntar,RU,2021-10-31 20:42:35,62.1444,117.6319,17.4,81,99,5.86
233,Naze,JP,2021-10-31 20:42:35,28.3667,129.4833,69.17,80,98,14.05
234,Turinskaya Sloboda,RU,2021-10-31 20:42:36,57.6232,64.3858,36.59,97,100,9.57
235,Adamas,GR,2021-10-31 20:42:36,36.7333,24.4333,60.22,75,99,15.88
236,Nome,US,2021-10-31 20:42:36,64.5011,-165.4064,17.67,80,1,0.0
237,At-Bashi,KG,2021-10-31 20:42:36,41.1702,75.8106,26.55,74,71,1.99
238,Bayir,TR,2021-10-31 20:42:37,37.2687,28.2167,55.92,95,100,2.44
239,Dzhebariki-Khaya,RU,2021-10-31 20:42:37,62.2167,135.8,2.95,86,100,2.24
240,Thinadhoo,MV,2021-10-31 20:42:37,0.5333,72.9333,82.58,77,100,19.51
241,Rancho Palos Verdes,US,2021-10-31 20:42:38,33.7445,-118.387,72.14,76,80,5.99
242,Verkhnyaya Khava,RU,2021-10-31 20:42:38,51.8404,39.9413,33.87,70,1,6.87
243,Vila Velha,BR,2021-10-31 20:42:38,-20.3297,-40.2925,71.55,94,90,4.61
