City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Pauini,BR,76.12,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
453,Parambu,BR,79.66,overcast clouds,-6.2111,-40.6944,Hotel pousada santo onofre
461,Balabac,PH,83.1,light rain,7.9868,117.0645,Sing and Swing Lodge
465,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
470,Pemba,MZ,77.77,scattered clouds,-12.974,40.5178,Guesthouse Samotina
473,Rabaul,PG,83.14,broken clouds,-4.1967,152.1721,Rabaul Hotel
476,Kombissiri,BF,80.37,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
478,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
480,Puerto Escondido,MX,79.93,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
481,Cocobeach,GA,75.18,heavy intensity rain,1.0002,9.5823,Hotel Esperance
482,Harper,LR,77.45,overcast clouds,4.375,-7.7169,Screensaver
483,Masallatah,LY,71.65,overcast clouds,32.6167,14.0,Mustafa Taher Sowaidan
487,Porto Calvo,BR,76.35,broken clouds,-9.045,-35.3983,Pousada eu e você
489,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
492,Tual,ID,84.24,broken clouds,-5.6667,132.75,Grand Vilia Hotel
494,Batemans Bay,AU,77.99,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
495,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
496,Ballina,AU,70.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
501,Canutama,BR,74.34,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
503,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
505,Yangjiang,CN,76.95,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
510,Dingle,PH,82.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
515,Gladstone,AU,82.78,broken clouds,-23.85,151.25,Highpoint International
517,Wad Madani,SD,84.15,clear sky,14.4012,33.5199,فندق يوغسلافيا
518,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
521,Alice Springs,AU,72.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
528,Podor,MR,88.52,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
529,Fomboni,KM,79.34,clear sky,-12.28,43.7425,Auberge les abou
530,Wukari,NG,76.39,broken clouds,7.85,9.7833,Elimtop
532,Sri Aman,MY,79.54,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
534,Lakes Entrance,AU,71.58,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
536,Ramon,PH,77.41,overcast clouds,16.7842,121.535,May traveller's Inn
538,Maroantsetra,MG,73.42,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
539,Musoma,TZ,71.64,overcast clouds,-1.5,33.8,New Peninsula Hotel
545,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
549,Itarema,BR,80.35,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
551,Santo Antonio Do Ica,BR,75.63,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
554,Nakhon Nayok,TH,84.02,overcast clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
555,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
558,Tarrafal,CV,77.79,overcast clouds,15.2833,-23.7667,Hotel Ixola
562,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
563,Atar,MR,80.6,clear sky,20.5169,-13.0499,Oumou Elghoura
564,Sao Joao Da Barra,BR,70.9,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
566,Samarai,PG,83.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
572,Sehithwa,BW,78.71,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
573,Cabinda,AO,77.49,light rain,-5.55,12.2,Hotel Maiombe
574,San Lorenzo,PY,74.95,clear sky,-25.3333,-57.5333,Hotel del Sur
576,Takoradi,GH,78.03,overcast clouds,4.8845,-1.7554,Raybow International Hotel
578,Taungdwingyi,MM,75.6,broken clouds,20.0167,95.55,NayNaing MobileService
580,Maragogi,BR,76.96,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,Vao,NC,72.07,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
594,Taitung,TW,79.07,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
599,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
602,Ulladulla,AU,77.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
604,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
609,San-Pedro,CI,76.89,overcast clouds,4.7485,-6.6363,Hotel Maria
612,Uravakonda,IN,71.49,scattered clouds,14.95,77.2667,Divya Lodge
614,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
615,Thaton,MM,77.97,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
